SuperTopic,mid,uid
0,7564317587,4748655006844623
0,6367236537,4748652323013571
0,6037730438,4747707355238386
0,7361989339,4748642822654376
0,5821495827,4748654559101747
0,5882606014,4748652026004475
0,7517511339,4747784378652288
0,2822060011,4748651841194878
0,6181557225,4748655044856357
0,7734861488,4748538019840334
0,6379870269,4748654282540792
0,5767547527,4748654910900057
0,5744482705,4748530121706871
0,7365316294,4748646874612370
0,7632516735,4748652486069269
0,7151153552,4748648259257090
0,3210251184,4748650649485901
0,6883547265,4748625223353787
0,5515817559,4748652914935690
0,3210251184,4748518419601501
0,7700932084,4748645695490208
0,5603284822,4748654118177454
0,2361915247,4748654970144864
0,5698023579,4748461155553247
0,6396690567,4748534723644060
0,5821495827,4748654953628871
0,5671611334,4748654948386313
0,5947672692,4748541408314586
0,7734861488,4748581620154396
0,6189301600,4748652285788255
0,6906774639,4748654936588570
0,5698023579,4748340442438399
0,5698023579,4748487662770145
0,5520958981,4747775453694970
0,5564382263,4746600721154223
0,3210251184,4748513180649324
0,6641360711,4747574835153651
0,7023924381,4748296083738558
0,2621462421,4748654855849186
0,6499474331,4748615866122899
0,5410720513,4748404482118342
0,5629033165,4748313875976303
0,6100012292,4748524614845493
0,3210251184,4748504590977043
0,7517875486,4748644714024188
0,5190195442,4748378468256818
0,6477945701,4748654525023436
0,5316259148,4748643434758708
0,6499887044,4747931003392480
0,3210251184,4748498941247840
0,5177837797,4748423729514731
0,5194096214,4748650825387059
0,7710044410,4748650855269008
0,7747952607,4748654717960922
0,5698023579,4748332863324836
0,7229196562,4748534241559011
0,5255973985,4748334336053678
0,5836713526,4748653930218533
0,3210251184,4748495099006388
0,7370688368,4748649319628877
0,7728859727,4748654600261982
0,5474760394,4748652943245605
0,3210251184,4748487235471936
0,7398784815,4746197691273018
0,7729212773,4748651350198640
0,5819540279,4748644865806657
0,5649765650,4748574820663589
0,7510141319,4748648196344884
0,3210251184,4748485477272583
0,6093260664,4748517279794709
0,5674135728,4748652461949411
0,7632516735,4748654478362574
0,6037730438,4748503525884627
0,7733428298,4748654307183424
0,3210251184,4748472974840534
0,7745654330,4748654319242735
0,6571770196,4748653606208389
0,2008103821,4748654374553418
0,7747832754,4748608823885868
0,3210251184,4748472563274082
0,5411795037,4748648838071409
0,6353617344,4748653527041805
0,3210251184,4748472194959504
0,6931189089,4748654311638025
0,6263089072,4748652114083963
0,5263379906,4748652482134250
0,5263946622,4748654290144205
0,5698023579,4748455655771709
0,5761036600,4748654244528919
0,7546467796,4748652415814926
0,5190195442,4748378468256818
0,6477945701,4748654525023436
0,5316259148,4748643434758708
0,6499887044,4747931003392480
0,3210251184,4748498941247840
0,5177837797,4748423729514731
0,5194096214,4748650825387059
0,7710044410,4748650855269008
0,7747952607,4748654717960922
0,5698023579,4748332863324836
0,7229196562,4748534241559011
0,5255973985,4748334336053678
0,5836713526,4748653930218533
0,3210251184,4748495099006388
0,7370688368,4748649319628877
0,7728859727,4748654600261982
0,5474760394,4748652943245605
0,3210251184,4748487235471936
0,7398784815,4746197691273018
0,7729212773,4748651350198640
0,5819540279,4748644865806657
0,5649765650,4748574820663589
0,7510141319,4748648196344884
0,3210251184,4748485477272583
0,6093260664,4748517279794709
0,5674135728,4748652461949411
0,7632516735,4748654478362574
0,6037730438,4748503525884627
0,7733428298,4748654307183424
0,3210251184,4748472974840534
0,7745654330,4748654319242735
0,6571770196,4748653606208389
0,2008103821,4748654374553418
0,7747832754,4748608823885868
0,3210251184,4748472563274082
0,5411795037,4748648838071409
0,6353617344,4748653527041805
0,3210251184,4748472194959504
0,6931189089,4748654311638025
0,6263089072,4748652114083963
0,5263379906,4748652482134250
0,5263946622,4748654290144205
0,5698023579,4748455655771709
0,5761036600,4748654244528919
0,7546467796,4748652415814926
0,5698023579,4748482717943025
0,3210251184,4748469183188314
0,7714286067,4748464657007521
0,6136641867,4748643016378301
0,3210251184,4748463533197530
0,6358983677,4748518642946549
0,7009286234,4748609700758177
0,5945360915,4748563487130374
0,5336834191,4748654105854686
0,5807440880,4743454477780043
0,6624508023,4748648506458898
0,3210251184,4748460773872397
0,5098952081,4746256574317701
0,3210251184,4748452624077590
0,6244025366,4748476087010348
0,6338880731,4748649172567811
0,3210251184,4748445010629912
0,2719546244,4748631326589319
0,5973028190,4748651379297187
0,5205098702,4748648687340238
0,2730901877,4748644580853555
0,7617792829,4748653392039100
0,6555540693,4748650624846859
0,5111669888,4748653674103241
0,6599428022,4748532739737888
0,2868370350,4748440464000909
0,6090644938,4744791944331423
0,6189301600,4748653832962412
0,7596405114,4748525068094050
0,3101251365,4748027300939581
0,3279373974,4748630509225395
0,7733547008,4748636401435025
0,5999379731,4748467065065660
0,5098952081,4746245611195337
0,6855067642,4748525767757282
0,7382901615,4748649437332799
0,5219697664,4748335988873453
0,5564382263,4748411545327193
0,5999379731,4748475168983603
0,5255973985,4748421606936912
0,2150602577,4748650931292148
0,6813000748,4748645670324010
0,5098952081,4746141238824398
0,5519476496,4748653561119256
0,6037730438,4748630587605040
0,5698023579,4748482717943025
0,3210251184,4748469183188314
0,7714286067,4748464657007521
0,6136641867,4748643016378301
0,3210251184,4748463533197530
0,6358983677,4748518642946549
0,7009286234,4748609700758177
0,5945360915,4748563487130374
0,5336834191,4748654105854686
0,5807440880,4743454477780043
0,6624508023,4748648506458898
0,3210251184,4748460773872397
0,5098952081,4746256574317701
0,3210251184,4748452624077590
0,6244025366,4748476087010348
0,6338880731,4748649172567811
0,3210251184,4748445010629912
0,2719546244,4748631326589319
0,5973028190,4748651379297187
0,5205098702,4748648687340238
0,2730901877,4748644580853555
0,7617792829,4748653392039100
0,6555540693,4748650624846859
0,5111669888,4748653674103241
0,6599428022,4748532739737888
0,2868370350,4748440464000909
0,6090644938,4744791944331423
0,6189301600,4748653832962412
0,7596405114,4748525068094050
0,3101251365,4748027300939581
0,3279373974,4748630509225395
0,7733547008,4748636401435025
0,5999379731,4748467065065660
0,5098952081,4746245611195337
0,6855067642,4748525767757282
0,7382901615,4748649437332799
0,5219697664,4748335988873453
0,5564382263,4748411545327193
0,5999379731,4748475168983603
0,5255973985,4748421606936912
0,2150602577,4748650931292148
0,6813000748,4748645670324010
0,5098952081,4746141238824398
0,5519476496,4748653561119256
0,6037730438,4748630587605040
